Seating Interest (Sidewalk/Roadway/Both),CAMIS,Approved for Sidewalk Seating,Approved for Roadway Seating,Time of Submission,,,Score,Grade,BOROUGH,Violation Code,Violation Description,Cuisin
both,41511273,yes,yes,2020/6/26,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Italian
both,50000501,yes,yes,2020/12/9,,,11,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,American
sidewalk,41628343,yes,no,2020/7/1,,,10,A,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Indonesian
sidewalk,50100028,yes,no,2020/7/9,,,8,A,Manhattan,02B,Hot food item not held at or above 140º F.,Pizza
sidewalk,50110881,yes,no,2021/7/14,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50069415,yes,no,2020/6/26,,,9,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Tapas
both,40841272,yes,yes,2020/6/29,,,13,A,Manhattan,09C,Food contact surface not properly maintained.,Soul Food
sidewalk,50079236,yes,no,2020/8/20,,,12,A,Brooklyn,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Chinese/Japanese
both,41718170,yes,yes,2020/6/29,,,2,A,Brooklyn,09C,Food contact surface not properly maintained.,Caribbean
roadway,50018819,no,yes,2020/8/14,,,10,A,Brooklyn,09C,Food contact surface not properly maintained.,Southeast Asian
roadway,41305402,no,yes,2020/7/6,,,12,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Italian
roadway,40660748,no,yes,2020/6/30,,,19,B,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
sidewalk,40733383,yes,no,2020/7/1,,,11,A,Manhattan,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Japanese
sidewalk,41457591,yes,no,2020/6/22,,,13,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Spanish
both,41422201,yes,yes,2020/9/15,,,13,A,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",American
roadway,41678381,no,yes,2020/7/3,,,12,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Indian
both,50073031,yes,yes,2020/9/3,,,15,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Chinese
both,41032752,yes,yes,2020/6/30,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Korean
roadway,50033552,no,yes,2020/8/18,,,13,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Japanese
both,50105116,yes,yes,2020/6/25,,,9,A,Brooklyn,10H,Proper sanitization not provided for utensil ware washing operation.,Chicken
both,50098692,yes,yes,2020/7/30,,,3,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Australian
both,50100103,yes,yes,2020/7/16,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40395774,yes,yes,2020/7/13,,,5,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Pizza
sidewalk,50054435,yes,no,2020/9/9,,,12,A,Manhattan,10H,Proper sanitization not provided for utensil ware washing operation.,American
both,0,yes,yes,2020/7/1,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41413315,yes,no,2020/6/29,,,13,A,Bronx,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",American
both,50040804,yes,yes,2020/7/19,,,12,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
both,50101523,yes,yes,2020/6/24,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41692902,yes,yes,2020/7/4,,,12,A,Manhattan,09C,Food contact surface not properly maintained.,Steakhouse
both,50087582,yes,yes,2021/7/20,,,24,B,Manhattan,02B,Hot food item not held at or above 140º F.,American
both,50047806,yes,yes,2020/7/6,,,9,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Chinese
roadway,41046585,no,yes,2020/7/4,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,41087789,yes,yes,2020/7/7,,,12,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Japanese
both,50061001,yes,yes,2020/7/1,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50105460,yes,yes,2021/7/19,,,18,B,Brooklyn,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
sidewalk,50112920,yes,no,2021/7/19,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41687902,yes,no,2021/7/19,,,2,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
sidewalk,50112539,yes,no,2021/7/21,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
openstreets,50059199,no,no,2020/8/6,,,13,A,Manhattan,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Steakhouse
roadway,41400890,no,yes,2021/3/24,,,13,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Mexican
openstreets,40952129,no,no,2020/8/6,,,7,A,Brooklyn,02B,Hot food item not held at or above 140º F.,Italian
both,50075175,yes,yes,2021/4/21,,,12,A,Manhattan,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,American
roadway,41254287,no,yes,2020/7/6,,,12,A,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",French
both,41579887,yes,yes,2020/7/6,,,20,B,Manhattan,02B,Hot food item not held at or above 140º F.,Seafood
both,50013798,yes,yes,2020/6/29,,,59,C,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Italian
both,50070293,yes,yes,2020/8/4,,,8,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mediterranean
both,41395526,yes,yes,2020/8/8,,,22,B,Queens,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Irish
both,40792697,yes,yes,2020/6/28,,,5,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Ethiopian
both,50082812,yes,yes,2020/8/27,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
sidewalk,41630095,yes,no,2021/7/27,,,12,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Donuts
roadway,50042713,no,yes,2021/1/26,,,0,A,Manhattan,0,0,American
sidewalk,50036537,yes,no,2020/7/9,,,13,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Italian
roadway,981250,no,yes,2020/6/29,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50070989,yes,yes,2020/7/22,,,7,A,Manhattan,09C,Food contact surface not properly maintained.,Italian
roadway,40515702,no,yes,2021/4/20,,,9,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Coffee/Tea
sidewalk,50047345,yes,no,2021/3/19,,,5,A,Brooklyn,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,American
both,50083260,yes,yes,2020/7/7,,,9,A,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Japanese
sidewalk,50000796,yes,no,2020/7/11,,,11,A,Bronx,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Latin American
both,50113220,yes,yes,2021/7/27,,,6,A,Brooklyn,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Hamburgers
both,41620030,yes,yes,2021/3/10,,,10,A,Queens,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",American
both,41684033,yes,yes,2020/7/1,,,11,A,Queens,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Spanish
sidewalk,50098290,yes,no,2020/7/14,,,9,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Steakhouse
both,41347614,yes,yes,2020/8/17,,,12,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Hamburgers
openstreets,50042533,no,no,2020/9/2,,,22,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
sidewalk,50054965,yes,no,2020/7/21,,,5,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Thai
both,50091765,yes,yes,2021/8/3,,,11,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Jewish/Kosher
both,50101679,yes,yes,2020/8/20,,,9,A,Brooklyn,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
both,41612730,yes,yes,2020/7/1,,,18,B,Bronx,02B,Hot food item not held at or above 140º F.,African
sidewalk,40853737,yes,no,2020/7/22,,,12,A,Queens,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,American
both,50112932,yes,yes,2021/7/29,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
openstreets,50087864,no,no,2020/8/7,,,9,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Italian
both,50006098,yes,yes,2020/8/10,,,13,A,Brooklyn,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Italian
both,50080683,yes,yes,2020/7/2,,,12,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Latin American
sidewalk,50075033,yes,no,2020/7/9,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50112523,yes,yes,2021/7/28,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50059265,yes,no,2020/8/21,,,10,A,Manhattan,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Chinese
